group,level,student_id,time_index,n_timepoints,gpa,gpa_time_varying,katz_direction,avg_friend_gpa,katz_centrality,in_degree,out_degree
school,high_school,school_106,0,6,3.375,True,outgoing_original_ties,3.9583333333333335,0.08063710648195464,0,6
school,high_school,school_107,0,6,3.0,True,outgoing_original_ties,3.5,0.01807589099744421,4,1
school,high_school,school_108,0,6,4.0,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_109,0,6,4.375,True,outgoing_original_ties,4.2440476190476195,0.03278664740311969,4,3
school,high_school,school_110,0,6,4.0,True,outgoing_original_ties,3.8779761904761902,0.04402591862987472,1,6
school,high_school,school_111,0,6,3.875,True,outgoing_original_ties,3.795995670995671,0.07782308407320415,23,11
school,high_school,school_112,0,6,3.75,True,outgoing_original_ties,3.725446428571429,0.07516197290994246,0,8
school,high_school,school_113,0,6,4.125,True,outgoing_original_ties,4.0,0.023359068398981345,0,1
school,high_school,school_114,0,6,4.25,True,outgoing_original_ties,5.0,0.016103402093145168,8,1
school,high_school,school_115,0,6,3.125,True,outgoing_original_ties,3.7104341736694675,0.1334907173543626,16,17
school,high_school,school_116,0,6,4.875,True,outgoing_original_ties,3.625,0.016636995377519226,4,1
school,high_school,school_117,0,6,3.142857142857143,True,outgoing_original_ties,4.0,0.015872160846021412,0,1
school,high_school,school_118,0,6,4.333333333333333,True,outgoing_original_ties,4.19047619047619,0.030786646158061242,1,5
school,high_school,school_119,0,6,3.25,True,outgoing_original_ties,4.196428571428572,0.023479034384611807,0,3
school,high_school,school_120,0,6,3.4285714285714284,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_121,0,6,3.125,True,outgoing_original_ties,3.45,0.046777356898980355,8,5
school,high_school,school_122,0,6,3.4285714285714284,True,outgoing_original_ties,4.571428571428571,0.018040390045201662,0,1
school,high_school,school_123,0,6,4.428571428571429,True,outgoing_original_ties,3.8095238095238098,0.0278900447317333,0,3
school,high_school,school_124,0,6,4.5,True,outgoing_original_ties,4.428571428571429,0.017891733537620292,2,2
school,high_school,school_125,0,6,4.25,True,outgoing_original_ties,3.875,0.04067033552327714,0,8
school,high_school,school_126,0,6,4.25,True,outgoing_original_ties,3.8960193452380953,0.24661534899360565,36,32
school,high_school,school_127,0,6,4.166666666666667,True,outgoing_original_ties,4.219246031746032,0.08463272096015106,0,6
school,high_school,school_128,0,6,3.25,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_129,0,6,4.75,True,outgoing_original_ties,4.0,0.01621289789951331,4,1
school,high_school,school_130,0,6,3.5,True,outgoing_original_ties,4.375,0.01777637206976146,0,2
school,high_school,school_131,0,6,4.625,True,outgoing_original_ties,3.7,0.03301714418715017,16,5
school,high_school,school_132,0,6,3.5714285714285716,True,outgoing_original_ties,4.125,0.017954760907862837,1,1
school,high_school,school_133,0,6,3.125,True,outgoing_original_ties,4.3125,0.02381704987569267,0,2
school,high_school,school_134,0,6,3.4285714285714284,True,outgoing_original_ties,3.7142857142857144,0.019954458830182698,7,1
school,high_school,school_135,0,6,4.0,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_136,0,6,3.0,True,outgoing_original_ties,3.625,0.03508225783066358,0,2
school,high_school,school_137,0,6,4.333333333333333,True,outgoing_original_ties,4.132142857142857,0.05841016671438013,3,5
school,high_school,school_138,0,6,4.0,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_139,0,6,3.875,True,outgoing_original_ties,3.78125,0.025366566610275636,0,4
school,high_school,school_140,0,6,4.666666666666667,True,outgoing_original_ties,3.8888888888888893,0.023909409115287147,7,3
school,high_school,school_141,0,6,4.0,True,outgoing_original_ties,4.25,0.0161881381229017,0,1
school,high_school,school_142,0,6,3.7142857142857144,True,outgoing_original_ties,3.8958333333333335,0.034703707102991595,0,6
school,high_school,school_143,0,6,3.5,True,outgoing_original_ties,3.9583333333333335,0.01954815863101855,5,3
school,high_school,school_144,0,6,4.25,True,outgoing_original_ties,3.7638888888888893,0.027641299958717832,0,3
school,high_school,school_145,0,6,4.0,True,outgoing_original_ties,3.142857142857143,0.01567099514012262,5,1
school,high_school,school_146,0,6,3.5714285714285716,True,outgoing_original_ties,3.744047619047619,0.05903244062058084,24,6
school,high_school,school_147,0,6,4.0,True,outgoing_original_ties,4.708333333333333,0.02794923153322225,0,3
school,high_school,school_148,0,6,4.0,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_149,0,6,3.4285714285714284,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_150,0,6,4.571428571428571,True,outgoing_original_ties,4.142857142857143,0.03192569590959817,7,5
school,high_school,school_151,0,6,3.25,True,outgoing_original_ties,3.5736607142857144,0.061477246642938785,5,8
school,high_school,school_152,0,6,3.2857142857142856,True,outgoing_original_ties,4.25,0.038074760875554066,0,1
school,high_school,school_153,0,6,3.625,True,outgoing_original_ties,4.0625,0.01816146717591981,5,2
school,high_school,school_154,0,6,3.125,True,outgoing_original_ties,3.506493506493506,0.06366967602574211,1,11
school,high_school,school_155,0,6,5.0,True,outgoing_original_ties,4.520833333333334,0.05599863603139759,0,8
school,high_school,school_156,0,6,3.875,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_157,0,6,4.833333333333333,True,outgoing_original_ties,,0.014292693865292874,1,0
school,high_school,school_158,0,6,3.0,True,outgoing_original_ties,4.25,0.027519823245178498,0,3
school,high_school,school_159,0,6,4.0,True,outgoing_original_ties,4.26984126984127,0.024688441417289497,0,3
school,high_school,school_160,0,6,4.625,True,outgoing_original_ties,4.875,0.01589706538550155,0,1
school,high_school,school_161,0,6,3.625,True,outgoing_original_ties,3.375,0.020984277505447922,7,2
school,high_school,school_162,0,6,3.7142857142857144,True,outgoing_original_ties,4.107142857142858,0.027053896830179506,2,4
school,high_school,school_163,0,6,3.125,True,outgoing_original_ties,3.375,0.031017933618198885,0,4
school,high_school,school_164,0,6,3.75,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_165,0,6,4.833333333333333,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_166,0,6,3.5714285714285716,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_167,0,6,4.0,True,outgoing_original_ties,4.3690476190476195,0.028887445291154296,0,3
school,high_school,school_168,0,6,3.875,True,outgoing_original_ties,4.3125,0.0187033699353105,0,2
school,high_school,school_169,0,6,3.3333333333333335,True,outgoing_original_ties,4.098214285714286,0.0199617145764478,0,2
school,high_school,school_170,0,6,3.2857142857142856,True,outgoing_original_ties,3.698412698412698,0.020203920421924978,0,3
school,high_school,school_171,0,6,4.125,True,outgoing_original_ties,3.9940476190476195,0.030738863735090806,0,4
school,high_school,school_172,0,6,4.142857142857143,True,outgoing_original_ties,4.291666666666667,0.02569555489069459,5,3
school,high_school,school_173,0,6,4.0,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_174,0,6,4.166666666666667,True,outgoing_original_ties,,0.014292693865292874,4,0
school,high_school,school_175,0,6,4.625,True,outgoing_original_ties,4.2559523809523805,0.05327305234423261,6,12
school,high_school,school_176,0,6,4.142857142857143,True,outgoing_original_ties,3.5857142857142863,0.0377788962554275,0,5
school,high_school,school_177,0,6,3.375,True,outgoing_original_ties,4.25,0.018869083212478058,6,2
school,high_school,school_178,0,6,4.833333333333333,True,outgoing_original_ties,3.875,0.02179747750625414,0,1
school,high_school,school_179,0,6,4.5,True,outgoing_original_ties,,0.014292693865292874,6,0
school,high_school,school_180,0,6,4.0,True,outgoing_original_ties,3.875,0.0163787402002564,5,1
school,high_school,school_181,0,6,3.5714285714285716,True,outgoing_original_ties,4.167857142857143,0.026484894771613674,8,5
school,high_school,school_182,0,6,3.0,True,outgoing_original_ties,3.25,0.0345111529347885,0,2
school,high_school,school_183,0,6,4.5,True,outgoing_original_ties,,0.014292693865292874,1,0
school,high_school,school_184,0,6,4.25,True,outgoing_original_ties,4.25,0.01876058395550816,0,1
school,high_school,school_185,0,6,4.0,True,outgoing_original_ties,3.8095238095238098,0.02124499706162514,0,3
school,high_school,school_186,0,6,3.7142857142857144,True,outgoing_original_ties,3.793650793650794,0.019202920742995018,0,3
school,high_school,school_187,0,6,4.0,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_188,0,6,3.6666666666666665,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_189,0,6,3.75,True,outgoing_original_ties,,0.014292693865292874,8,0
school,high_school,school_190,0,6,4.0,True,outgoing_original_ties,3.5,0.01567099514012262,0,1
school,high_school,school_191,0,6,5.0,True,outgoing_original_ties,3.5625,0.018776663683279533,17,2
school,high_school,school_192,0,6,3.5,True,outgoing_original_ties,3.5337301587301586,0.05700301811311451,0,9
school,high_school,school_193,0,6,3.875,True,outgoing_original_ties,3.7916666666666665,0.036928600923248935,14,3
school,high_school,school_194,0,6,3.75,True,outgoing_original_ties,3.875,0.02179747750625414,0,1
school,high_school,school_195,0,6,3.5714285714285716,True,outgoing_original_ties,3.0,0.01926955060941207,0,1
school,high_school,school_196,0,6,3.1666666666666665,True,outgoing_original_ties,3.2857142857142856,0.016600053814302067,0,1
school,high_school,school_197,0,6,3.25,True,outgoing_original_ties,3.625,0.03508225783066358,3,2
school,high_school,school_198,0,6,3.875,True,outgoing_original_ties,4.0,0.021631864064331395,8,3
school,high_school,school_199,0,6,5.0,True,outgoing_original_ties,,0.014292693865292874,1,0
school,high_school,school_200,0,6,4.25,True,outgoing_original_ties,3.8125,0.019655357978172746,10,2
school,high_school,school_201,0,6,4.125,True,outgoing_original_ties,3.4583333333333335,0.03065558434713257,2,3
school,high_school,school_202,0,6,3.125,True,outgoing_original_ties,3.5714285714285716,0.01602414268676355,6,1
school,high_school,school_203,0,6,3.4285714285714284,True,outgoing_original_ties,4.142857142857143,0.015863188558399948,0,1
school,high_school,school_204,0,6,3.75,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_205,0,6,4.25,True,outgoing_original_ties,3.2916666666666665,0.0222924320468056,2,3
school,high_school,school_206,0,6,4.0,True,outgoing_original_ties,3.9836309523809526,0.022422874396422793,0,4
school,high_school,school_207,0,6,4.125,True,outgoing_original_ties,3.9166666666666665,0.022391137972232147,12,3
school,high_school,school_208,0,6,4.125,True,outgoing_original_ties,,0.014292693865292874,2,0
school,high_school,school_209,0,6,4.166666666666667,True,outgoing_original_ties,4.666666666666667,0.018766746795779582,0,1
school,high_school,school_210,0,6,4.428571428571429,True,outgoing_original_ties,3.8325892857142856,0.04655359284969868,12,8
school,high_school,school_211,0,6,4.571428571428571,True,outgoing_original_ties,4.349489795918368,0.04409162841595257,14,7
school,high_school,school_212,0,6,4.428571428571429,True,outgoing_original_ties,3.0,0.018097305906747355,3,1
school,high_school,school_213,0,6,3.4285714285714284,True,outgoing_original_ties,3.867857142857143,0.054398196115171334,12,5
school,high_school,school_214,0,6,4.625,True,outgoing_original_ties,3.8287815126050426,0.19914431357806228,13,17
school,high_school,school_215,0,6,3.5,True,outgoing_original_ties,4.25,0.01876058395550816,1,1
school,high_school,school_216,0,6,3.125,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_217,0,6,4.333333333333333,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_218,0,6,4.0,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_219,0,6,4.166666666666667,True,outgoing_original_ties,4.051587301587301,0.03256677137532467,12,6
school,high_school,school_220,0,6,4.166666666666667,True,outgoing_original_ties,4.190476190476191,0.020374015613880938,2,3
school,high_school,school_221,0,6,4.0,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_222,0,6,3.5,True,outgoing_original_ties,4.113095238095238,0.02771392929993334,14,3
school,high_school,school_223,0,6,3.7142857142857144,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_224,0,6,3.2857142857142856,True,outgoing_original_ties,3.491071428571429,0.023926843006788906,7,4
school,high_school,school_225,0,6,4.25,True,outgoing_original_ties,3.8541666666666665,0.04431711007918738,0,6
school,high_school,school_226,0,6,4.25,True,outgoing_original_ties,3.637755102040816,0.052523626582228713,10,7
school,high_school,school_227,0,6,3.857142857142857,True,outgoing_original_ties,4.571428571428571,0.01854462277177885,5,1
school,high_school,school_228,0,6,3.4285714285714284,True,outgoing_original_ties,,0.014292693865292874,2,0
school,high_school,school_229,0,6,4.0,True,outgoing_original_ties,4.0,0.04531902613391096,2,9
school,high_school,school_230,0,6,5.0,True,outgoing_original_ties,3.8125,0.03542120590934368,7,4
school,high_school,school_231,0,6,5.0,True,outgoing_original_ties,,0.014292693865292874,0,0
school,high_school,school_232,0,6,3.0,True,outgoing_original_ties,4.0625,0.05160899761036975,12,6
school,high_school,school_233,0,6,4.375,True,outgoing_original_ties,3.96875,0.03124449451817101,19,4
school,high_school,school_234,0,6,4.0,True,outgoing_original_ties,4.625,0.016783165901090066,1,1
school,high_school,school_235,0,6,3.142857142857143,True,outgoing_original_ties,3.2142857142857144,0.01969722747847446,0,2
school,high_school,school_236,0,6,4.0,True,outgoing_original_ties,4.178571428571428,0.034572578086951355,12,3
school,high_school,school_237,0,6,3.875,True,outgoing_original_ties,3.4464285714285716,0.03609588605594213,2,7
school,high_school,school_238,0,6,4.625,True,outgoing_original_ties,4.125,0.018776663683279533,0,2
school,high_school,school_239,0,6,3.75,True,outgoing_original_ties,3.933531746031746,0.11866069761216304,0,18
school,high_school,school_240,0,6,3.5,True,outgoing_original_ties,,0.014292693865292874,5,0
school,high_school,school_241,0,6,4.25,True,outgoing_original_ties,3.810064935064935,0.10391359399904389,23,11
school,high_school,school_242,0,6,4.833333333333333,True,outgoing_original_ties,,0.014292693865292874,0,0
